Date,005930.KS,000660.KS,006400.KS
2016-10-11,24187.01953125,36480.40234375,90480.2578125
2016-10-12,24030.466796875,36436.2421875,92510.28125
2016-10-13,24374.8828125,36171.23828125,91543.625
2016-10-14,24687.984375,36701.22265625,90866.9453125
2016-10-17,24891.494140625,37363.69921875,89320.2734375
2016-10-18,24875.83984375,36789.55859375,91156.9453125
2016-10-19,25439.427734375,35376.26953125,90383.609375
2016-10-20,25361.15234375,35376.26953125,90383.609375
2016-10-21,24875.83984375,36171.23828125,89513.6015625
2016-10-24,25173.28515625,35464.60546875,89416.9453125
2016-10-25,25001.083984375,36259.58203125,89223.6015625
2016-10-26,24531.427734375,37893.67578125,86323.5859375
2016-10-27,24625.361328125,37982.015625,87000.265625
2016-10-28,25267.216796875,37496.19140625,89900.2734375
2016-10-31,25658.595703125,36215.4140625,91156.9453125
2016-11-01,25862.10546875,37098.70703125,91446.9375
2016-11-02,25721.208984375,36215.4140625,90286.9375
2016-11-03,25298.52734375,36347.90625,90770.28125
2016-11-04,25470.734375,36392.07421875,90576.9375
2016-11-07,25674.24609375,36657.0546875,91640.28125
2016-11-08,25736.8671875,36657.0546875,91640.28125
2016-11-09,24985.423828125,35022.953125,90383.609375
2016-11-10,25815.14453125,36215.4140625,90576.9375
2016-11-11,25016.736328125,35199.6015625,89223.6015625
2016-11-14,24312.259765625,35067.12109375,89126.9453125
2016-11-15,24093.08984375,35067.12109375,91640.28125
2016-11-16,24390.5390625,36082.91796875,91543.625
2016-11-17,24547.0859375,37010.37890625,92123.6171875
2016-11-18,24828.87109375,37098.70703125,90286.9375
2016-11-21,24938.462890625,35994.58203125,89803.609375
2016-11-22,25674.24609375,37717.0234375,90383.609375
2016-11-23,25815.14453125,38026.17578125,90770.28125
2016-11-24,25830.8046875,37672.859375,87193.6015625
2016-11-25,25830.8046875,37628.6953125,87676.9296875
2016-11-28,26253.486328125,37628.6953125,88450.265625
2016-11-29,26253.486328125,37452.03125,89900.2734375
2016-11-30,27333.68359375,37893.67578125,89223.6015625
2016-12-01,27380.640625,39041.97265625,88740.265625
2016-12-02,27036.23828125,39218.640625,88256.921875
2016-12-05,26895.345703125,39218.640625,86806.9375
2016-12-06,27364.990234375,39925.27734375,86903.5859375
2016-12-07,27740.7109375,39969.4453125,87676.9296875
2016-12-08,28022.498046875,40852.734375,91350.2734375
2016-12-09,27865.947265625,40190.26171875,90770.28125
2016-12-12,27427.611328125,40013.609375,93090.2734375
2016-12-13,27646.783203125,39704.44921875,94540.2734375
2016-12-14,27818.98828125,40499.41796875,94443.6328125
2016-12-15,27537.197265625,40278.6015625,98600.3046875
2016-12-16,28069.46875,40985.2421875,100533.640625
2016-12-19,28100.779296875,39881.109375,103916.984375
2016-12-20,28366.908203125,39881.109375,106333.65625
2016-12-21,28257.322265625,39748.61328125,104400.3203125
2016-12-22,28319.9453125,40190.26171875,102950.3203125
2016-12-23,27897.259765625,40896.90625,104883.65625
2016-12-26,28147.74609375,40322.7578125,104883.65625
2016-12-27,28163.404296875,40322.7578125,105850.3125
2016-12-28,28425.7109375,40591.28125,104852.640625
2016-12-29,28648.2890625,40009.48046875,106315.703125
2017-01-02,28695.978515625,40994.0625,103389.5625
2017-01-03,28998.05078125,42291.90234375,107291.0625
2017-01-04,28743.673828125,41620.61328125,105828.015625
2017-01-05,28266.734375,42023.39453125,109241.8203125
2017-01-06,28775.466796875,42963.2109375,110217.1875
2017-01-09,29586.2734375,44350.5703125,113143.3125
2017-01-10,29602.166015625,44529.58203125,113631.0078125
2017-01-11,30428.875,46185.453125,113631.0078125
2017-01-12,30842.224609375,45290.390625,113631.0078125
2017-01-13,29777.05078125,45021.875,114606.3671875
2017-01-16,29141.130859375,44126.7890625,110704.875
2017-01-17,29379.59375,44126.7890625,111192.5703125
2017-01-18,29363.697265625,43724.015625,109729.4921875
2017-01-19,29792.94921875,44395.3203125,102901.890625
2017-01-20,29570.369140625,43992.53515625,104852.640625
2017-01-23,30253.99609375,45469.390625,103877.2578125
2017-01-24,30333.482421875,46185.453125,107291.0625
2017-01-25,31319.158203125,46274.96484375,109729.4921875
2017-01-26,31716.61328125,47707.0625,113143.3125
2017-01-31,31366.853515625,48065.1015625,112655.625
2017-02-01,31096.591796875,48333.609375,115094.0546875
2017-02-02,31287.365234375,47259.53515625,115581.75
2017-02-03,31366.853515625,48065.1015625,115581.75
2017-02-06,31446.33984375,48065.1015625,118995.546875
2017-02-07,30858.119140625,47707.0625,119970.9375
2017-02-08,30524.267578125,48870.65625,119483.2421875
2017-02-09,30524.267578125,47170.015625,122897.0390625
2017-02-10,30492.46484375,44753.34765625,121921.671875
2017-02-13,30174.5,45379.88671875,120946.296875
2017-02-14,29872.43359375,43365.9921875,122409.359375
2017-02-15,29983.724609375,42873.7109375,123872.40625
2017-02-16,30222.203125,44395.3203125,119970.9375
2017-02-17,30094.998046875,45111.37109375,120946.296875
2017-02-20,30730.93359375,44663.84375,120458.6171875
2017-02-21,30953.51171875,45558.91015625,121921.671875
2017-02-22,31239.666015625,45290.390625,119970.9375
2017-02-23,31144.279296875,44932.359375,122409.359375
2017-02-24,30381.169921875,42515.6796875,121921.671875
2017-02-27,30253.99609375,41173.078125,123872.40625
2017-02-28,30556.052734375,41799.625,125823.1640625
2017-03-02,31573.525390625,42694.69140625,125823.1640625
2017-03-03,31494.03125,42157.65625,121921.671875
2017-03-06,31859.697265625,44171.5546875,121921.671875
2017-03-07,31955.083984375,43679.2734375,121921.671875
2017-03-08,31955.083984375,42963.2109375,126798.5546875
2017-03-09,31955.083984375,42963.2109375,124360.1015625
2017-03-10,31939.193359375,44037.29296875,123384.7265625
2017-03-13,32273.0390625,45648.421875,127773.9140625
2017-03-14,32877.16796875,45021.875,130212.3359375
2017-03-15,32908.9609375,43679.2734375,132163.09375
2017-03-16,33258.72265625,43992.53515625,132650.78125
2017-03-17,33703.859375,41844.37890625,132650.78125
2017-03-20,33306.421875,42605.1875,130700.0390625
2017-03-21,33831.0625,42560.44140625,130700.0390625
2017-03-22,33751.56640625,43545.0,131675.421875
