Date,VaR_return_h,realized_return_h,violation
2017-02-22,-0.0432483169842421,-0.0002540070633105275,False
2017-02-23,-0.04324972957412791,-0.018855548033053664,False
2017-02-24,-0.04533334200863446,0.0285756397766197,False
2017-02-27,-0.04553836611398448,0.0326395341287736,False
2017-02-28,-0.04585228877055363,0.02664904087415946,False
2017-03-02,-0.04361134660819967,0.002195256612899164,False
2017-03-03,-0.04512773069952505,0.02319489367811383,False
2017-03-06,-0.04626995748002817,0.030887384856703504,False
2017-03-07,-0.0454274173403108,0.041503263771615735,False
2017-03-08,-0.04553595468640839,0.029126790163428503,False
2017-03-09,-0.0450435942542313,0.04273341226027327,False
2017-03-10,-0.043922101717392914,0.025037668374064372,False
2017-03-13,-0.0457535319515908,-0.004944379617442865,False
2017-03-14,-0.04319085563602236,-0.007961386760453132,False
2017-03-15,-0.04330801784747505,0.006168672579004935,False
2017-03-16,-0.04336707035315382,-0.006328129304775031,False
2017-03-17,-0.04418020590629011,0.010673043470616664,False
2017-03-20,-0.04408639220213021,0.016656687900754367,False
2017-03-21,-0.04365677444518753,0.017180854160829963,False
2017-03-22,-0.04379896588047967,0.023227987365713867,False
2017-03-23,-0.043980703705546395,0.02144562744135723,False
2017-03-24,-0.044004248017624904,0.011461467049985902,False
2017-03-27,-0.041400413730001945,0.018772961965975367,False
2017-03-28,-0.041403997388443026,0.009666707069735068,False
2017-03-29,-0.04071026646773647,-0.004981266464815365,False
2017-03-30,-0.04126622018549887,-0.008651292226795997,False
2017-03-31,-0.04160203728399151,-0.0026421500516672644,False
2017-04-03,-0.04185763269295138,-0.015735353216181764,False
2017-04-04,-0.04206819374037259,-0.019404301020206766,False
2017-04-05,-0.041413555990486045,-0.0241389645962476,False
2017-04-06,-0.04209706447526728,0.005728264415813098,False
2017-04-07,-0.04209103344119083,-0.0027678140323900684,False
2017-04-10,-0.036878961542410785,-0.010270974648867967,False
2017-04-11,-0.03695003784986488,0.002099983917481966,False
2017-04-12,-0.036367127150841325,0.0001775045803355654,False
2017-04-13,-0.036594846286045986,-0.003954914438998999,False
2017-04-14,-0.03520258121212147,0.011587802876839231,False
2017-04-17,-0.034032140555403725,0.028232515155380163,False
2017-04-18,-0.034012300477084825,0.03845347590283413,False
2017-04-19,-0.03408619864457091,0.05453510363716199,False
2017-04-20,-0.034919399828073815,0.03733477305834016,False
2017-04-21,-0.03507433559515827,0.0415304439086605,False
2017-04-24,-0.030574673131142746,0.045690652519415995,False
2017-04-25,-0.031707508941417585,0.041673212009936234,False
2017-04-26,-0.03194433066802411,0.055367348501354635,False
2017-04-27,-0.031840983946262495,0.038546424527985707,False
2017-04-28,-0.031105470678254876,0.05000897524617324,False
2017-05-02,-0.03137002374804142,0.04176364131234853,False
2017-05-04,-0.03184945152068133,0.0365862512527758,False
2017-05-08,-0.03457081875379112,0.010794569425886504,False
2017-05-10,-0.037329741723401956,0.030301308844223628,False
2017-05-11,-0.03977360555422322,0.002361683639026433,False
2017-05-12,-0.03978120053038591,-0.008324571763433469,False
2017-05-15,-0.03979628642482122,0.00044706229302090075,False
2017-05-16,-0.039108798811406636,-0.0022068658010304986,False
2017-05-17,-0.03851400800864165,0.002355601060215467,False
2017-05-18,-0.03843726382988646,0.009529422253125735,False
2017-05-19,-0.038883897233705146,0.0347563571412893,False
2017-05-22,-0.039436389837946985,0.03257309808144256,False
2017-05-23,-0.039761857058087095,0.026042241543811365,False
2017-05-24,-0.03857049636834191,0.021211549769198725,False
2017-05-25,-0.038524290021220674,0.0004196918905739651,False
2017-05-26,-0.03924029397550525,-0.002965687274041137,False
2017-05-29,-0.03873171790880463,-0.021594130942147332,False
2017-05-30,-0.03979147694365558,-0.007544389878118969,False
2017-05-31,-0.038647257075628064,-0.010655226783722804,False
2017-06-01,-0.040707954322333297,0.01510376969739263,False
2017-06-02,-0.04000243458936267,-0.024753853491570735,False
2017-06-05,-0.040637307875875744,-0.004430965921436301,False
2017-06-07,-0.040029927050913974,-0.0059164464600496005,False
2017-06-08,-0.03967287592693876,0.0099352959927866,False
2017-06-09,-0.03966663400003437,-0.009040049789373466,False
2017-06-12,-0.04451940337293674,0.05335115303835267,False
2017-06-13,-0.044405661809557385,0.05863963547977977,False
2017-06-14,-0.0441221774826275,0.06100216166711524,False
2017-06-15,-0.04452016745947746,0.06492832819535037,False
2017-06-16,-0.04508103169025791,0.0748700812439786,False
2017-06-19,-0.050220779272266425,0.07180669837066739,False
2017-06-20,-0.051156428288723334,0.06735464461182812,False
2017-06-21,-0.049154227905790555,0.0390435262014372,False
2017-06-22,-0.047600977810097464,0.026355344024573436,False
2017-06-23,-0.04573000296295001,0.02639612507765647,False
2017-06-26,-0.04993114914576657,-0.017265667874607996,False
2017-06-27,-0.050463692741785,-0.039424737199769126,False
2017-06-28,-0.053951861998759225,0.016556402880327933,False
