Date,sigma_1d,sigma_h,q_left,VaR_return_h,VaR_krw_h
2017-02-22,0.011758650120039446,0.026293140992044266,-1.6448536269514722,-0.04324836832471044,-432483.6832471044
2017-02-23,0.011759034062549096,0.026293999513595293,-1.6448536269514722,-0.04324978046699746,-432497.8046699746
2017-02-24,0.012325516349757249,0.027560692415842285,-1.6448536269514722,-0.04533330488149211,-453333.0488149211
2017-02-27,0.012381260869252002,0.027685340950805614,-1.6448536269514722,-0.04553833347632073,-455383.33476320736
2017-02-28,0.012466616249016717,0.027876201382204827,-1.6448536269514722,-0.04585227094914925,-458522.70949149254
2017-03-02,0.011857320978444143,0.026513775738835423,-1.6448536269514722,-0.043611280188201394,-436112.80188201397
2017-03-03,0.012269606560837618,0.027435674327210325,-1.6448536269514722,-0.0451276684249713,-451276.68424971297
2017-03-06,0.01258015395956824,0.028130079421007724,-1.6448536269514722,-0.046269863162077526,-462698.63162077527
2017-03-07,0.012351087246536054,0.02761787067928532,-1.6448536269514722,-0.04542735475549918,-454273.5475549918
2017-03-08,0.012380596994280289,0.0276838564812403,-1.6448536269514722,-0.04553589174117213,-455358.9174117213
2017-03-09,0.012246735920435011,0.027384534020581143,-1.6448536269514722,-0.04504355010612887,-450435.5010612887
2017-03-10,0.011941815234833654,0.026702710639830665,-1.6448536269514722,-0.043922050445361134,-439220.5044536113
2017-03-13,0.012439749524072948,0.02781612555889777,-1.6448536269514722,-0.04575345501329054,-457534.5501329054
2017-03-14,0.011743001541149867,0.0262581497058959,-1.6448536269514722,-0.043190812780777604,-431908.12780777604
2017-03-15,0.01177485956198201,0.026329386406105174,-1.6448536269514722,-0.043307986725488884,-433079.8672548888
2017-03-16,0.011790919317741054,0.026365297111684442,-1.6448536269514722,-0.04336705457980733,-433670.5457980733
2017-03-17,0.012012007966167821,0.026859666358620242,-1.6448536269514722,-0.044180219628682946,-441802.1962868295
2017-03-20,0.011986497021652196,0.02680262215251308,-1.6448536269514722,-0.044086390259371014,-440863.9025937101
2017-03-21,0.011869690424375322,0.026541434660781547,-1.6448536269514722,-0.043656775066282044,-436567.7506628204
2017-03-22,0.0119083503974105,0.026627880988496517,-1.6448536269514722,-0.04379896662196065,-437989.66621960653
2017-03-23,0.011957760365835264,0.026738365036660407,-1.6448536269514722,-0.0439806967093033,-439806.967093033
2017-03-24,0.011964161852903783,0.0267526791969027,-1.6448536269514722,-0.04400424140769461,-440042.4140769461
2017-03-27,0.011256198065694376,0.02516962404309427,-1.6448536269514722,-0.04140034739628859,-414003.4739628859
2017-03-28,0.011257172302163535,0.02517180250206547,-1.6448536269514722,-0.04140393064242853,-414039.30642428534
2017-03-29,0.011068569726032202,0.024750074321104227,-1.6448536269514722,-0.04071024951438678,-407102.4951438678
2017-03-30,0.01121971850721135,0.025088053270537043,-1.6448536269514722,-0.041266175415194596,-412661.75415194593
2017-03-31,0.011311025426903116,0.025292221749783947,-1.6448536269514722,-0.041602002678793035,-416020.02678793034
2017-04-03,0.01138051638404015,0.02544760825376388,-1.6448536269514722,-0.04185759073344374,-418575.9073344374
2017-04-04,0.011437764631504557,0.02557561922668702,-1.6448536269514722,-0.04206815004654595,-420681.50046545954
2017-04-05,0.011259771634917494,0.02517761478679946,-1.6448536269514722,-0.041413491000054106,-414134.9100005411
2017-04-06,0.011445605614495586,0.02559315219766538,-1.6448536269514722,-0.04209698921745095,-420969.89217450947
2017-04-07,0.011443966381685058,0.025589486761670097,-1.6448536269514722,-0.042090960111759744,-420909.6011175974
2017-04-10,0.01002689949463634,0.022420828873565144,-1.6448536269514722,-0.03687898169194192,-368789.81691941916
2017-04-11,0.010046224535750069,0.02246404097916342,-1.6448536269514722,-0.036950059280563455,-369500.59280563454
2017-04-12,0.009887741463579007,0.02210966205650592,-1.6448536269514722,-0.036367157824315106,-363671.5782431511
2017-04-13,0.00994965746949626,0.02224811045463218,-1.6448536269514722,-0.036594885174118706,-365948.85174118704
2017-04-14,0.009571120070515414,0.021401675098485045,-1.6448536269514722,-0.03520262290858013,-352026.2290858013
2017-04-17,0.009252889797131654,0.020690090574700618,-1.6448536269514722,-0.03403217052375078,-340321.7052375078
2017-04-18,0.009247492376815478,0.02067802157597051,-1.6448536269514722,-0.03401231878741589,-340123.1878741589
2017-04-19,0.009267585094621713,0.020722950258837972,-1.6448536269514722,-0.03408621989438459,-340862.19894384587
2017-04-20,0.009494117216346765,0.021229491482102444,-1.6448536269514722,-0.03491940606267159,-349194.0606267159
2017-04-21,0.009536239392138667,0.021323679530533334,-1.6448536269514722,-0.03507433161574862,-350743.3161574862
2017-04-24,0.008312849698284901,0.018588097012103656,-1.6448536269514722,-0.03057469878848452,-305746.98788484524
2017-04-25,0.008620849684803868,0.019276805919029086,-1.6448536269514722,-0.0317075241319546,-317075.241319546
2017-04-26,0.008685234081316528,0.019420773806321696,-1.6448536269514722,-0.03194433023353239,-319443.3023353239
2017-04-27,0.008657135951853584,0.019357944478801962,-1.6448536269514722,-0.03184098518628263,-318409.8518628263
