Date,sigma_1d,sigma_h,q_left,VaR_return_h,VaR_krw_h
2017-02-22,0.011758617348172302,0.02629306771192158,-1.6448536269514722,-0.04324824778963486,-432482.47789634863
2017-02-23,0.011759000471254511,0.02629392440117715,-1.6448536269514722,-0.04324965691806405,-432496.5691806405
2017-02-24,0.012325495860596761,0.02756064660068663,-1.6448536269514722,-0.04533322952226717,-453332.2952226717
2017-02-27,0.012381241901088401,0.027685298536702395,-1.6448536269514722,-0.04553826371132922,-455382.6371132922
2017-02-28,0.012466598894866654,0.02787616257714559,-1.6448536269514722,-0.045852207120506826,-458522.07120506826
2017-03-02,0.011857305634441985,0.026513741428603552,-1.6448536269514722,-0.04361122375289206,-436112.2375289206
2017-03-03,0.012269579587242903,0.027435614012418945,-1.6448536269514722,-0.04512756921596794,-451275.69215967937
2017-03-06,0.012580127215814918,0.028130019620157324,-1.6448536269514722,-0.046269764798431846,-462697.64798431844
2017-03-07,0.01235104895279075,0.02761778505186771,-1.6448536269514722,-0.045427213910930755,-454272.13910930755
2017-03-08,0.012380558246769764,0.02768376983917281,-1.6448536269514722,-0.045535749227653174,-455357.49227653176
2017-03-09,0.012246695645225717,0.02738444396247535,-1.6448536269514722,-0.04504340197372692,-450434.0197372692
2017-03-10,0.01194177358860117,0.026702617516023826,-1.6448536269514722,-0.0439218972703297,-439218.972703297
2017-03-13,0.012439701901904174,0.027816019072491153,-1.6448536269514722,-0.0457532798587384,-457532.798587384
2017-03-14,0.011742969558140805,0.02625807818971351,-1.6448536269514722,-0.04319069514712561,-431906.9514712561
2017-03-15,0.011774832670186659,0.02632932627422273,-1.6448536269514722,-0.04330788781734395,-433078.87817343953
2017-03-16,0.011790889089211602,0.026365229518637727,-1.6448536269514722,-0.04336694339913928,-433669.43399139284
2017-03-17,0.012011977942987874,0.02685959922474898,-1.6448536269514722,-0.04418010920329131,-441801.0920329131
2017-03-20,0.011986462691620375,0.02680254538822826,-1.6448536269514722,-0.04408626399335871,-440862.6399335871
2017-03-21,0.011869656108785244,0.026541357928789446,-1.6448536269514722,-0.043656648853386534,-436566.48853386537
2017-03-22,0.011908316239074835,0.02662780460813597,-1.6448536269514722,-0.043798840987447574,-437988.40987447574
2017-03-23,0.011957724570704868,0.026738284996315576,-1.6448536269514722,-0.04398056505465181,-439805.6505465181
2017-03-24,0.011964125085053326,0.02675259698148969,-1.6448536269514722,-0.04400410617537433,-440041.06175374327
2017-03-27,0.011256168247455147,0.025169557367484385,-1.6448536269514722,-0.04140023772466984,-414002.37724669836
2017-03-28,0.011257143301769749,0.025171737655213588,-1.6448536269514722,-0.041403823978849015,-414038.2397884902
2017-03-29,0.011068526650680555,0.02474997800168979,-1.6448536269514722,-0.0407100910830486,-407100.910830486
2017-03-30,0.011219678987172873,0.02508796490104454,-1.6448536269514722,-0.04126603006031434,-412660.3006031434
2017-03-31,0.011310988590085329,0.0252921393801553,-1.6448536269514722,-0.04160186719281061,-416018.6719281061
2017-04-03,0.01138048681692665,0.025447542139688195,-1.6448536269514722,-0.04185748198546656,-418574.81985466555
2017-04-04,0.011437737223074604,0.02557555793957449,-1.6448536269514722,-0.04206804923821662,-420680.4923821662
2017-04-05,0.01125974503395407,0.02517755530523698,-1.6448536269514722,-0.041413393161590324,-414133.9316159032
2017-04-06,0.011445574964179776,0.0255930836614757,-1.6448536269514722,-0.04209687648545077,-420968.7648545077
2017-04-07,0.011443935658222467,0.025589418061919236,-1.6448536269514722,-0.04209084711072537,-420908.4711072537
2017-04-10,0.010026863462726996,0.022420748303766492,-1.6448536269514722,-0.03687884916641638,-368788.49166416377
2017-04-11,0.010046184333432148,0.022463951084047695,-1.6448536269514722,-0.03694991141625631,-369499.1141625631
2017-04-12,0.009887706221964878,0.022109583253861094,-1.6448536269514722,-0.036367028205498954,-363670.28205498954
2017-04-13,0.009949631117234544,0.022248051529183622,-1.6448536269514722,-0.03659478825038093,-365947.8825038093
2017-04-14,0.009571111767721604,0.021401656532873684,-1.6448536269514722,-0.035202592370866946,-352025.92370866943
2017-04-17,0.009252891396859175,0.0206900941518001,-1.6448536269514722,-0.03403217640755584,-340321.7640755584
2017-04-18,0.009247497328536778,0.02067803264835594,-1.6448536269514722,-0.034012336999869226,-340123.36999869224
2017-04-19,0.009267591045496125,0.02072296356539768,-1.6448536269514722,-0.03408624178172759,-340862.4178172759
2017-04-20,0.009494125234721464,0.02122950941173334,-1.6448536269514722,-0.034919435554289995,-349194.3555428999
2017-04-21,0.00953624511807391,0.021323692334113773,-1.6448536269514722,-0.03507435267576434,-350743.52675764344
2017-04-24,0.008312867864233197,0.018588137632398923,-1.6448536269514722,-0.03057476560292452,-305747.6560292452
2017-04-25,0.008620866144743033,0.019276842724571964,-1.6448536269514722,-0.031707584671685295,-317075.846716853
2017-04-26,0.00868524653575053,0.019420801655282743,-1.6448536269514722,-0.03194437604099697,-319443.7604099697
2017-04-27,0.008657151485823652,0.019357979213814994,-1.6448536269514722,-0.031841042320294805,-318410.42320294806
2017-04-28,0.008457170289881306,0.018910807665466205,-1.6448536269514722,-0.03110551057712379,-311055.10577123787
2017-05-02,0.008529113073194608,0.019071676619445282,-1.6448536269514722,-0.031370116459540166,-313701.1645954017
2017-05-04,0.00865946366160028,0.019363149396027464,-1.6448536269514722,-0.03184954651325898,-318495.46513258986
2017-05-08,0.009399352279567149,0.021017590641579754,-1.6448536269514722,-0.03457086019658378,-345708.60196583776
2017-05-10,0.010149460638840896,0.022694883923406687,-1.6448536269514722,-0.03732976213465815,-373297.6213465815
2017-05-11,0.010813900947931865,0.024180617621525066,-1.6448536269514722,-0.03977357659669219,-397735.76596692187
2017-05-12,0.010815965917685294,0.024185235034265215,-1.6448536269514722,-0.03978117156478495,-397811.71564784955
2017-05-15,0.010820068678320957,0.024194409085941965,-1.6448536269514722,-0.039796261536959296,-397962.61536959297
2017-05-16,0.010633158633413247,0.023776465519850788,-1.6448536269514722,-0.03910880554641319,-391088.0554641319
2017-05-17,0.010471445719336555,0.023414864451135723,-1.6448536269514722,-0.03851402471702769,-385140.2471702769
2017-05-18,0.010450572065263269,0.02336818954168904,-1.6448536269514722,-0.038437251322936676,-384372.51322936674
2017-05-19,0.010572008906688187,0.023639730574088018,-1.6448536269514722,-0.03888389657494428,-388838.9657494428
2017-05-22,0.010722231203831943,0.023975637842237628,-1.6448536269514722,-0.039436414863279534,-394364.1486327953
2017-05-23,0.010810727332843863,0.024173521202453873,-1.6448536269514722,-0.03976190402604456,-397619.0402604456
2017-05-24,0.01048681972522622,0.023449241773391496,-1.6448536269514722,-0.038570570380224975,-385705.70380224974
2017-05-25,0.010474256153924343,0.023421148773920333,-1.6448536269514722,-0.03852436150815289,-385243.6150815289
2017-05-26,0.010668922392851875,0.02385643571708651,-1.6448536269514722,-0.039240344815384395,-392403.4481538439
2017-05-29,0.010530646432672689,0.023547241270471794,-1.6448536269514722,-0.03873176520843692,-387317.6520843692
2017-05-30,0.01081878175586294,0.024191531439844066,-1.6448536269514722,-0.03979152823033808,-397915.28230338084
2017-05-31,0.01050766975865145,0.023495863865463453,-1.6448536269514722,-0.0386472568974656,-386472.568974656
2017-06-01,0.011067943936248352,0.024748675012607912,-1.6448536269514722,-0.040707947856731395,-407079.4785673139
2017-06-02,0.01087612737938629,0.024319760152254392,-1.6448536269514722,-0.04000244569302552,-400024.4569302552
2017-06-05,0.01104874055845232,0.024705734954458377,-1.6448536269514722,-0.040637317746342626,-406373.17746342625
2017-06-07,0.010883603800580849,0.024336477938273843,-1.6448536269514722,-0.04002994400399422,-400299.4400399422
2017-06-08,0.010786527203639994,0.024119408068489747,-1.6448536269514722,-0.03967289584137796,-396728.9584137796
2017-06-09,0.010784832878698594,0.0241156194427448,-1.6448536269514722,-0.03966666410658023,-396666.6410658023
