model,level,expected_rate,n,violations,violation_rate,LR_pof,p_value,verdict
tVaR,95,0.05,2239,145,0.06476105404198303,9.433815709320697,0.0021302060610268736,FAIL
GARCHVaR,95,0.05,2239,133,0.059401518535060295,3.9399533302815826,0.047152085601915084,FAIL
tVaR,99,0.01,2239,36,0.0160786065207682,7.056861612409591,0.007896220903398588,FAIL
GARCHVaR,99,0.01,2239,47,0.020991514068780706,20.758368425852723,5.210339386829688e-06,FAIL
