Date,portfolio,garch_vol,regime,low_thr,high_thr
2016-01-05,0.013093540528766833,0.017195640793246175,moderate,0.015723961493832695,0.018477994385921216
2016-01-06,-0.009055227915586066,0.017026704672430847,moderate,0.015723961493832695,0.018477994385921216
2016-01-07,-0.01978585759725683,0.016717620023082965,moderate,0.015723961493832695,0.018477994385921216
2016-01-08,0.002672501394505601,0.016955777786859506,moderate,0.015723961493832695,0.018477994385921216
2016-01-11,-0.021905035773443833,0.016522395694536233,moderate,0.015723961493832695,0.018477994385921216
2016-01-12,-0.019338778591021365,0.01692775752162702,moderate,0.015723961493832695,0.018477994385921216
2016-01-13,0.005684847107366033,0.017117889027245963,moderate,0.015723961493832695,0.018477994385921216
2016-01-14,-0.005297449264403833,0.01671881654897181,moderate,0.015723961493832695,0.018477994385921216
2016-01-15,-0.015170287242672966,0.01633470311159442,moderate,0.015723961493832695,0.018477994385921216
2016-01-18,-0.009162114590475199,0.016328812703434573,moderate,0.015723961493832695,0.018477994385921216
2016-01-19,0.008020995754614638,0.016066127951168133,moderate,0.015723961493832695,0.018477994385921216
2016-01-20,-0.025685847715218597,0.01578463296308603,moderate,0.015723961493832695,0.018477994385921216
2016-01-21,-0.004553540585818333,0.01657774567791586,moderate,0.015723961493832695,0.018477994385921216
2016-01-22,0.02249060725875463,0.016188661085062575,moderate,0.015723961493832695,0.018477994385921216
2016-01-25,0.0101890046352637,0.01667220131208764,moderate,0.015723961493832695,0.018477994385921216
2016-01-26,-0.062162968166151064,0.016422681372764078,moderate,0.015723961493832695,0.018477994385921216
2016-01-27,0.014977387260800668,0.021826853512608477,high,0.015723961493832695,0.018477994385921216
2016-01-28,-0.004161795705142567,0.02143824510188797,high,0.015723961493832695,0.018477994385921216
2016-01-29,0.0088140252766327,0.020791679848280523,high,0.015723961493832695,0.018477994385921216
2016-02-01,0.0169145845910216,0.02026208807609729,high,0.015723961493832695,0.018477994385921216
