Date,portfolio,Rolling_tVaR_95,Violation_tVaR_95,Rolling_GARCHVaR_95,Violation_GARCHVaR_95,Rolling_tVaR_99,Violation_tVaR_99,Rolling_GARCHVaR_99,Violation_GARCHVaR_99
2017-01-11,0.021351629598082365,-0.020083803075818307,False,-0.02286266863561128,False,-0.033365636404788235,False,-0.0328361990283849,False
2017-01-12,-0.002025820282158033,-0.020140885749826903,False,-0.02286266863561128,False,-0.033401725342242214,False,-0.0328361990283849,False
2017-01-13,-0.010848540629597867,-0.020065936809066966,False,-0.02286266863561128,False,-0.03340246091051623,False,-0.0328361990283849,False
2017-01-16,-0.025434751309807102,-0.01995820727128345,True,-0.02286266863561128,True,-0.0332882088028967,False,-0.0328361990283849,False
2017-01-17,0.004181854311355733,-0.020259913965779565,False,-0.02286266863561128,False,-0.03358171239559393,False,-0.0328361990283849,False
2017-01-18,-0.0076518993379432665,-0.019990232536428544,False,-0.022540020481553555,False,-0.03339029879799162,False,-0.03241418142753323,False
2017-01-19,-0.011497957173685298,-0.019850685264076823,False,-0.022540020481553555,False,-0.03327878356811087,False,-0.03241418142753323,False
2017-01-20,0.0007223942357071998,-0.020000087313607053,False,-0.022540020481553555,False,-0.0333225760356379,False,-0.03241418142753323,False
2017-01-23,0.015509624174744299,-0.019946161079572842,False,-0.022540020481553555,False,-0.033317358740614325,False,-0.03241418142753323,False
2017-01-24,0.0168616271228796,-0.01977067055412656,False,-0.022540020481553555,False,-0.033173602380271484,False,-0.03241418142753323,False
2017-01-25,0.01879569868440873,-0.019673810087866447,False,-0.02022411817857192,False,-0.033072712759363375,False,-0.02927164075678011,False
2017-01-26,0.024575056744477866,-0.01971751939048149,False,-0.02022411817857192,False,-0.03303829740989178,False,-0.02927164075678011,False
2017-01-31,-0.002643638846310333,-0.019488413636570643,False,-0.02022411817857192,False,-0.032722077634984977,False,-0.02927164075678011,False
2017-02-01,0.006110449589387599,-0.019469335286653892,False,-0.02022411817857192,False,-0.03272111908512924,False,-0.02927164075678011,False
2017-02-02,-0.0040427490478658,-0.019399487600856424,False,-0.02022411817857192,False,-0.0327282623224289,False,-0.02927164075678011,False
2017-02-03,0.006479790374858633,-0.019470697672789614,False,-0.01781783097893884,False,-0.032804450526957504,False,-0.02597264760454579,False
2017-02-06,0.010546232554565165,-0.01883735506492645,False,-0.01781783097893884,False,-0.030482856688520462,False,-0.02597264760454579,False
2017-02-07,-0.006065427268905167,-0.018822460930156985,False,-0.01781783097893884,False,-0.03050335102673005,False,-0.02597264760454579,False
2017-02-08,0.0030487842948067655,-0.018842218701911016,False,-0.01781783097893884,False,-0.030505190483971413,False,-0.02597264760454579,False
2017-02-09,-0.0024157757188386347,-0.01885575939029511,False,-0.01781783097893884,False,-0.030545048676964788,False,-0.02597264760454579,False
2017-02-10,-0.020534378697050167,-0.01887925679424681,True,-0.01715125197449538,True,-0.03064005653017904,False,-0.025096526893372446,False
2017-02-13,-0.0015372362586796003,-0.019075825080866193,False,-0.01715125197449538,False,-0.030787439678019432,False,-0.025096526893372446,False
2017-02-14,-0.014476714575262301,-0.01889210378354109,False,-0.01715125197449538,False,-0.030700796849463915,False,-0.025096526893372446,False
2017-02-15,0.0013941791392080667,-0.01898690420332076,False,-0.01715125197449538,False,-0.030745270244453202,False,-0.025096526893372446,False
2017-02-16,0.003598289321042501,-0.018983818973346948,False,-0.01715125197449538,False,-0.03074328108783251,False,-0.025096526893372446,False
2017-02-17,0.006626704415484566,-0.01860491351780335,False,-0.016733183515249002,False,-0.030123799335406355,False,-0.024506836304395974,False
2017-02-20,0.002300019478544666,-0.018584298027364346,False,-0.016733183515249002,False,-0.030090807917495868,False,-0.024506836304395974,False
2017-02-21,0.013043632551201067,-0.018581998226053737,False,-0.016733183515249002,False,-0.030173190365584156,False,-0.024506836304395974,False
2017-02-22,-0.004279455594974333,-0.018484071235710192,False,-0.016733183515249002,False,-0.030042202521933323,False,-0.024506836304395974,False
2017-02-23,0.0030421440312731664,-0.018429374307682846,False,-0.016733183515249002,False,-0.029957748154995394,False,-0.024506836304395974,False
2017-02-24,-0.028028144191490502,-0.01843902274386499,True,-0.016586026048019686,True,-0.029978267768031884,False,-0.02425312311270582,True
